text,label
"US election reprieve for oilNEW YORK: Oil dropped below \$50 a barrel last night to the lowest price in more than a month, extending a \$6 slide from recent peaks as the US presidential election got underway.",2
"Radcliffe run defendedGB athletics chief Max Jones defends Paula Radcliffe after she pulls out of the 10,000m final.",1
"NHL owners, union to meet next weekJocelyn Thibault and the handful of his Blackhawks teammates still in town waiting out the lockout have stepped up their workouts recently just in case there #39;s a season.",1
"Borders Profits Rise, Raises Outlook NEW YORK (Reuters) - Borders Group Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BGP.N target=/stocks/quickinfo/fullquote""&gt;BGP.N&lt;/A&gt;, the No. 2  U.S. bookseller, on Tuesday said quarterly earnings rose,  beating estimates by the company and Wall Street, largely  because of stronger-than-expected book sales.",2
"Bomb Alert Prompts Greek Plane to Land in London (Reuters)Reuters - A bomb alert prompted a Greek Olympic\passenger airliner to make an emergency landing at London's\Stansted Airport on Sunday, an airport spokesman said.",0
"US wholesale prices climb in NovemberUS producer prices - a measure of wholesale inflation - rose by a faster than expected 0.5 in November, seasonally adjusted Labor Department figures showed this afternoon.",2
"McNair out of hospital, questionable for SundayTennessee quarterback Steve McNair was released from the hospital Tuesday morning after a two-night stay with a bruised sternum. McNair was injured late in the Titans #39; 15-12 loss to Jacksonville on Sunday.",1
"Google Roadshows Left Small Investors Out NEW YORK (Reuters) - The initial public offering of  Internet search engine Google Inc. was billed as a bonanza for  millions of U.S. investors -- but the little guy, with check in  hand, was left out of the party.",2
Saskatchewan court rules definition of marriage unconstitutional (Canadian Press)Canadian Press - SASKATOON (CP) - Gay couples may now tie the knot in more than half of the provinces and territories in Canada after a Saskatchewan court ruled Friday that the traditional definition of marriage is unconstitutional.,0
Peach Bowl Picks No. 20 Florida Gators (AP)AP - The Peach Bowl wants Florida to play in the Dec. 31 game  #151; and hopes Ron Zook will hang around to coach the Gators for a few more weeks.,1
"Space Shuttles Survive Hurricane Francesmaggeth writes  quot;In an update to a previous story, NASA damage assessment teams have begun work at the Kennedy Space Center, which was hit by Hurricane Frances.",3
Blair holds key as EU opens door to TurkeyTony Blair is on course to take charge of historic negotiations designed to pave the way for Turkish membership of the EU after European leaders last night gave the green light to accession talks.,0
Timeline of Case Against Kobe Bryant (AP)AP - Timeline of the sexual assault case against Los Angeles Lakers star Kobe Bryant:,1
Death toll rises in Afghan terror attackThe death toll from yesterday #39;s car-bomb attack in Afghanistan has climbed to eleven -- including three Americans. Taliban rebels are claiming responsibility for the blast outside ,0
Italian hostages releasedThere was widespread rejoicing on Tuesday night in Italy at the release of two Italian female aid workers who had been held hostage in Iraq.,0
28 killed in fighting in N. Iraqi townThe death toll rose to 28 and more than 70 were wounded in heavy clashes between the US-Iraqi forces and insurgents in Iraq #39;s northern town of Tall Afar.,0
"Nortel Networks to Eliminate 3,500 JobsNortel Networks said on Thursday it will slash its work force by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",3
"Varitek: Captain courageousSEATTLE -- So, Jason Varitek, we all know you are the de facto captain of the Boston Red Sox. You are the quiet leader of this team, the man who turned a season around by shoving your mitt into the face of Alex Rodriguez, and a man who's got a 15-game hitting streak in the wake of last night's 13-2 ...",1
"Bengals Take Early Lead Over Broncos (AP)AP - Carson Palmer hit a wide-open Chad Johnson on a 50-yard scoring play to give Cincinnati a 7-0 lead over the Denver Broncos after the first quarter of the Bengals' return to ""Monday Night Football.""",1
"Google looks at the booksGOOGLE INGENUES Sergey Brin and Larry Page, have been visiting the Frankfurt Book Fair this week peddling a new service to publishers for the search engine outfit.",3
Cardinals are left hangingHOUSTON - Starting pitcher Dan Haren pitched well for five innings but not quite well enough against an inspired opponent. Left fielder Reggie Sanders almost gave the Cardinals their second lead of the night but didn #39;t quite make it.,1
Toshiba to Launch HD DVD Notebook PCs in Q4 2005 (Reuters)Reuters - Japan's Toshiba Corp. said on Wednesday\it would introduce notebook computers with HD DVD technology in\the last quarter of 2005 in a move to pressure rivals in the\battle over formats for next-generation DVDs.,3
Carter to miss two preseason games to fight lawsuitVince Carter will miss the Toronto Raptors #39; next two preseason games while he fights a lawsuit from a former agent. Carter wasn #39;t available for Tuesday night #39;s game at Denver and Wednesday #39;s game at Portland ,1
"Analysts concerned about longer-than-expected G5 delaysAUGUST 17, 2004 (MACCENTRAL) - Analysts from Prudential Equity Group and UBS have warned over the past two days that longer than expected G5 delays from IBM Corp. is the near-term  quot;key risk quot; for Apple Computer Inc. ",3
"N. Korea Won't Give Up Nuke Development (AP)AP - North Korea said Monday that it will not give up nuclear development in light of unauthorized nuclear experiments by South Korea, where U.N. inspectors nuclear inspectors were conducting an investigation.",0
Rupe tries roadblockRupert Murdoch wants to put up another gate to keep media mogul John Malone from buying a bigger stake in his kingdom. One week after adopting a poison pill to protect his News Corp.,2
"Honors for Nude Lit, Fish FartsRecipients of this year's Ig Nobel Prizes, which honor the best in oddball research, run the gamut from a nudist library to a psychology experiment featuring a man in a gorilla suit to a recent finding that herrings communicate by farting. By Mark Baard.",3
Pressure Grows for CONCACAF World Cup Hopefuls RIO DE JANEIRO (Reuters) - Guatemala coach Ramon Maradiaga  believes his players were too individualistic in Saturday's 5-0  drubbing by Costa Rica and urged them not to repeat their  mistakes in Wednesday's qualifier against Honduras.,1
"Google Profit Up, Stock Rises, No Outlook SAN FRANCISCO (Reuters) - Web search leader Google Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.O target=/stocks/quickinfo/fullquote""&gt;GOOG.O&lt;/A&gt;, in its first earnings report as a publicly held  company, on Thursday posted quarterly net income and revenue  that more than doubled on strong Web search advertising.",2
Ghostzapper to return in 2005; Azeri might retire after two more &lt;b&gt;...&lt;/b&gt;There is no question in trainer Bobby Frankels mind who will claim Horse of the Year honors when the Eclipse Awards are handed out in January.,1
Sharon seeks coalition go-aheadIsraeli PM Ariel Sharon's Likud party is to  vote on whether to invite the opposition Labour Party into the coalition.,0
U.S.-Led Afghan Coalition Critcized (AP)AP - A U.N. human rights expert criticized the U.S.-led coalition forces in Afghanistan for violating international law by allegedly beating Afghans to death and forcing some to remove their clothes or wear hoods.,0
"Russia May Repay Up to \$10Bln in Foreign Debt in 2005  Finance &lt;b&gt;...&lt;/b&gt;Russia may allocate up to \$10 billion from its stabilization fund to repay foreign debt, Finance Minister Aleksei Kudrin told reporters at a press conference held in the Russian news agency RIA-Novosti on Monday.",2
"9/11 Commission Formally DisbandsWASHINGTON - The Sept. 11 commission closes down Saturday, but its members plan to continue testifying before Congress and traveling the country to try to get the government to improve homeland security...",0
"NASA #39;s Satellite Photo of Hurricane IvanSummary - (Sep 11, 2004) NASA #39;s Terra satellite took this photograph of Hurricane Ivan as it roared past the island of Jamaica on Saturday.",3
"Groups: Ill. Butterfly Population Falling (AP)AP - The number of butterflies fluttering around the Chicago area has dropped dramatically this summer, experts and enthusiasts say.",3
CIBC Q4 profit falls to \$439M from \$510M after \$300M Enron chargeTORONTO (CP) - CIBC reported Thursday its quarterly profit fell by 14 per cent due to a \$300-million charge related to litigation over loans to American energy trading firm Enron.,2
"Janet Jackson still holds TiVo titleSure, the device can record movies and anything else broadcast on TV. But apparently sex is what pushes the rewind button the most.",3
Winners of Polar Music Prize AnnouncedBrazilian singer Gilberto Gil and German romance singer Dietrich Fischer-Dieskau were named the 2005 winners of the Polar Music Prize for their contributions to music.,0
Guantanamo hearing postponedA hearing at Guantanamo Bay for a man accused of being an al-Qaeda paymaster is postponed.,0
Meteor shower peaks tonightThe Geminid meteor shower is one of the annual meteor showers that pull professional and amateur astronomers alike out into the cold night air.,3
"Germany, France Eye Balance in Possible EADS-Thales CombinationGermany and France have agreed that a future combination of European Aeronautic, Defense and Space Co. and Thales SA must benefit both countries #39; interests, Economics and Labor Minister Wolfgang Clement said.",2
"Borland moving forward with SDO15 Sep 2004, 16:01 GMT - Borland Software took a new direction this week, with the announcement of Software Delivery Optimization (SDO).",3
"US government agencies aim for software assuranceWASHINGTON - U.S. government agencies need to better understand the vulnerabilties of the software they're buying, said IT workers from several government agencies during a software assurance forum in Washington, D.C., this week.",3
"U.S. Furious as Hamm Asked to Give Back Gold Medal ATHENS (Reuters) - U.S. Olympic chiefs accused world  gymnastics officials of putting ""outrageous and improper  pressure"" on gold medallist Paul Hamm to give his medal to a  South Korean rival.",1
"Broadband reach to get broaderBroadband will be as widely available as analogue TV by the middle of next year, according to BT. BT has struggled to extend the reach of broadband to certain areas of the country because until now 512Kbps ADSL connections would not work ...",3
Greece admits fiddling euro entryGreece has admitted it joined the euro in 2001 on the basis of figures that showed its budget deficit to be much lower than it really was.,2
"Pakistan Parliament Elects Prime MinisterPakistan #39;s parliament elected former finance minister Shaukat Aziz, a close ally of President Gen. Pervez Musharraf, as prime minister on Friday after the opposition ",0
"BASEBALL ROUNDUP Rangers Pull Within Two Of the A #39;sHank Blalock #39;s solo homer and David Dellucci #39;s two-run double rallied Texas in the ninth inning yesterday, and the Rangers beat visiting Oakland, 5-4, to complete a three-game sweep ",1
"MLB: Minnesota 8, Texas 5A three-run homer in the 11th inning by Torii Hunter led the home-field Minnesota Twins to an 8-5 victory over the Texas Rangers. Hunter finished with three hits and six RBI ",1
"Back to Wall, Giants #39; Defense Turns FearsomeWhen the Giants #39; defensive players walked off the field after the Washington Redskins embarrassed them with an easy touchdown drive in the first quarter Sunday ",1
"At Citigroup, a Shifting in Strategy at a Core UnitThe chief executive of Citigroup has taken a number of symbolic steps to address concerns by investors that his company is too immense to manage.",2
"Odd Question on West Bank: Who Is Arafat, Really?Like so much else they consider beyond their control, Palestinians in Nablus are adjusting to the prospect of Yasir Arafat's death.",0
"Rate Hike Seen as Federal Reserve MeetsThe Federal Open Market Committee, the rate-setting panel for the US Federal Reserve, began its deliberations Wednesday with a rate hike widely expected.",2
"Injuries Deplete Rams Defensive Secondary (AP)AP - The St. Louis Rams' defensive backfield was depleted by injuries in a loss to Buffalo on Sunday, with the most serious to backup cornerback DeJuan Groce, who hurt his left knee.",1
"Google Profit Up in 1st Reported Quarter SAN FRANCISCO (Reuters) - Web search leader Google Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.O target=/stocks/quickinfo/fullquote""&gt;GOOG.O&lt;/A&gt;, in its first earnings report as a publicly held  company, on Thursday posted a profit of \$52.0 million in the  third quarter on strong Web search advertising.",2
"Rats May Help Unravel Human Drug Addiction MysteriesBy LAURAN NEERGAARD    WASHINGTON (AP) -- Rats can become drug addicts. That's important to know, scientists say, and has taken a long time to prove...",3
Oil back above \$55 as US winter stocks dropLONDON: Oil prices charged back up to \$55 a barrel yesterday as a fresh fall in US heating oil stocks stoked worries over winter supplies.,2
"Campina, Arla agree to merge to form largest dairy cooperativeLONDON, December 8 (newratings.com) - European dairy firms, Arla Foods AmbA (ARU.ISE) and Campina BV, have agreed to merge and form the worlds largest farmer owned dairy cooperative.",2
AT amp;T will offer VoIP service in Hampton RoadsThe firm #39;s new Internet calling plan is cheaper than traditional phone service and has more features. AT amp;T has followed its recent announcement that it #39;s not marketing new residential telephone service by ,3
"Rain Hampers Play at NEC InvitationalOnly 24 players finished the second round at Firestone South, but the forecast was for dry, cool weather the final two days.",1
"Stocks Open Near Unchanged After GDP Data NEW YORK (Reuters) - U.S. stocks opened little changed on  Friday, after third-quarter gross domestic product data showed  the U.S. economy grew at a slower-than-expected pace.",2
"Favre, Packers pummel RamsCBC SPORTS ONLINE - Quarterback Brett Favre celebrated his 200th straight start with three touchdown passes as the Green Bay Packers defeated the St.",1
British Telecom to Buy InfonetBritish Telecom is buying U.S.-based Infonet Services in a deal that values the company at almost \$1 Billion.,2
"Turkcell signs deal for Iran mobile network, still to pay licence fee (AFP)AFP - Turkcell, Turkey's biggest mobile phone operator, said that it had signed a licence agreement with Iran to set up the first Iranian private mobile phone network conditional on paying a 300-million-euro (366-million-dollar) licence fee.",3
"Morning AfterThe Morning After -- Every week, uncut, honest thoughts first thing Monday morning, win or lose, before there #39;s time for  quot;the coach quot; inside to begin thinking rationally.",1
"Apple introduces the U2 iPodApple today introduced the iPod U2 Special Edition as part of a partnership between Apple, U2 and Universal Music Group (UMG) to create innovative new products together for the new digital music era.",3
"Nokia, Vodafone Collaborate on Mobile JavaNokia and Vodafone announced they will team up for a mobile service architecture initiative, with the aim of simplifying mobile Java standards.",3
"Qwest Is Said to Pay \$250 Million in S.E.C. SettlementQwest has agreed to pay \$250 million to settle financial and disclosure fraud charges, a source familiar with the matter said today.",2
"Market is in charge as OPEC #39;s clout fadesPARIS Early last summer, OPEC looked as though it had successfully absorbed tremendous shocks to the oil market - a strike in Venezuela, ethnic clashes in Nigeria, attacks on foreign workers in Saudi Arabia, a war in Iraq.",2
"Internet Turns 35, Still Work in Progress (AP)AP - Thirty-five years after computer scientists at UCLA linked two bulky computers using a 15-foot gray cable, testing a new way for exchanging data over networks, what would ultimately become the Internet remains a work in progress.",3
"One Month Later, Fight Over Ohio Continues (AP)AP - Nearly a month after John Kerry conceded Ohio to President Bush, complaints and challenges about the balloting are mounting as activists including the Rev. Jesse Jackson demand closer scrutiny to ensure the votes are being counted on the up-and-up.",0
Atmosphere conducive for talks with Pak: NatwarThe atmosphere is conducive for talks between India and Pakistan and New Delhi is giving it the  quot;best shot quot; but a  quot;miracle quot; should not be expected during the coming visit of Pakistan ,0
"Forecaster Sees Fewer Atlantic Hurricanes in 2005 (Reuters)Reuters - Next year's Atlantic hurricane season\will again be more active than usual but is unlikely to be a\repeat of this year's disaster, a noted storm forecaster said\on Friday.",3
"Columnist Sal DeFilippo: Patriots-Jets: Zero in common and not &lt;b&gt;...&lt;/b&gt;Sal DeFilippo #39;s pro football picks column appears Friday. Reach him at sallasvegassun.com or (702) 259-4076. On the surface, it seems as though the New England Patriots and New York Jets have a lot in common.",1
"Gary AndresFrivolous obstructionism was on display again in the US Senate Tuesday. But don #39;t try to adjust your C-SPAN picture; it #39;s just another poignant example of what the Wall Street Journal calls the  quot;Dead Zone, quot; legislation ",2
